POS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
GRID,55,63,16,4,44,20,14,31,27,1,40,10,11,23,22,77,81,2,24
LAP 1,55,16,44,63,4,14,31,20,27,1,10,40,11,81,23,2,77,24,
LAP 2,55,16,63,44,4,14,31,20,1,27,10,40,11,81,23,2,77,24,
LAP 3,55,16,63,44,4,14,31,20,1,27,10,40,11,81,23,2,77,24,
LAP 4,55,16,63,4,44,14,31,20,1,27,10,40,11,81,23,2,77,24,
LAP 5,55,16,63,4,44,14,31,20,1,27,10,40,11,81,23,2,77,24,
LAP 6,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 7,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 8,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 9,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 10,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 11,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 12,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 13,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 14,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 15,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 16,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 17,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 18,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,2,77,24,
LAP 19,55,16,63,4,44,14,31,1,20,27,10,40,11,81,23,77,24,2,
LAP 20,55,16,63,4,44,1,14,31,11,20,27,10,40,81,23,77,24,2,
LAP 21,55,1,63,11,4,16,44,14,31,77,20,10,81,40,27,23,24,2,
LAP 22,55,1,63,11,4,16,44,14,31,77,20,10,81,40,27,23,24,2,
LAP 23,55,63,1,4,11,44,16,14,31,20,10,81,77,40,27,23,24,2,
LAP 24,55,63,4,1,44,11,16,14,31,20,10,81,40,27,23,24,77,2,
LAP 25,55,63,4,1,44,16,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 26,55,63,4,1,44,16,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 27,55,63,4,44,1,16,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 28,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 29,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 30,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 31,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 32,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 33,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 34,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 35,55,63,4,44,16,1,11,14,31,20,10,81,40,27,23,24,77,2,
LAP 36,55,63,4,44,16,1,11,14,31,10,81,40,27,23,24,20,77,2,
LAP 37,55,63,4,44,16,1,11,31,14,10,81,40,27,23,24,20,77,2,
LAP 38,55,63,4,44,16,1,11,31,14,10,81,40,27,23,24,20,77,2,
LAP 39,55,63,4,44,16,1,31,14,10,81,40,27,23,24,11,20,77,2,
LAP 40,55,63,4,44,16,1,31,14,10,81,40,27,23,24,20,77,2,11,
LAP 41,55,63,4,44,16,31,14,10,81,40,27,23,24,20,1,2,11,77,
LAP 42,55,63,4,44,16,31,14,10,81,40,27,23,24,20,1,2,11,77,
LAP 43,55,63,4,44,16,14,10,81,40,27,24,23,1,20,11,2,77,
LAP 44,55,4,16,63,44,10,81,40,14,27,24,1,23,11,20,77,2,
LAP 45,55,4,16,63,44,10,81,40,27,24,1,23,11,20,14,77,2,
LAP 46,55,4,16,63,44,10,81,40,27,24,1,23,11,20,77,2,14,
LAP 47,55,4,16,63,44,10,81,40,27,1,24,23,11,20,77,2,14,
LAP 48,55,4,16,63,44,10,81,40,1,27,24,23,11,20,77,2,14,
LAP 49,55,4,16,63,44,10,81,40,1,27,24,23,11,20,77,2,14,
LAP 50,55,4,16,63,44,10,81,1,40,27,24,23,11,20,77,2,14,
LAP 51,55,4,16,63,44,10,81,1,40,27,24,23,11,20,77,2,14,
LAP 52,55,4,16,63,44,10,81,1,40,27,23,11,24,20,2,14,,,
LAP 53,55,4,63,16,44,10,81,1,40,23,11,27,24,20,2,14,,,
LAP 54,55,4,63,44,16,10,1,81,40,23,11,27,24,20,2,14,,,
LAP 55,55,4,63,44,16,10,1,81,40,23,11,27,24,20,2,14,,,
LAP 56,55,4,63,44,16,10,1,81,40,23,11,27,24,20,2,14,,,
LAP 57,55,4,63,44,16,1,10,81,40,23,11,27,24,20,2,14,,,
LAP 58,55,4,63,44,16,1,10,81,40,11,27,24,20,23,2,14,,,
LAP 59,55,4,63,44,16,1,10,81,40,11,27,20,23,24,2,14,,,
LAP 60,55,4,63,44,16,1,10,81,11,40,20,23,27,24,2,14,,,
LAP 61,55,4,63,44,16,1,10,81,11,40,20,23,24,27,2,14,,,
LAP 62,55,4,44,16,1,10,81,11,40,20,23,24,27,2,14,,,